RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,ObjectId
B8-033677,2018/04/21 00:00:00+00,1030,"N 9,COURT to DEAD END",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2860
B8-034446,2018/04/23 00:00:00+00,1724,WARLICK at HOMESTEAD EXP,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,2861
B8-037075,2018/05/01 00:00:00+00,9999,1500 GARRETT at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2862
B8-035868,2018/04/27 00:00:00+00,1850,N 75 at ALI,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2863
B8-037145,2018/05/01 00:00:00+00,1105,3200 S 24 at PARKING LOT,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,YES,2864
B8-034449,2018/04/23 00:00:00+00,1725,"O,40 to 42",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2865
B8-033681,2018/04/07 00:00:00+00,9999,"BURR,S 16 to S 17",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2866
B8-037894,2018/05/03 00:00:00+00,1521,"HWY 34,W FLETCHER to FALLBROOK BLVD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2867
B8-035914,2018/04/27 00:00:00+00,9999,"FAIRFIELD,MANATT to N 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2868
B8-033709,2018/04/21 00:00:00+00,1227,"S 10,D to E",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2869
B8-037151,2018/05/01 00:00:00+00,1200,2200 DODGE at CAMPBELL,INJURY,,2,1,YES,NO,NO,NO,NO,NO,NO,2870
B8-037897,2018/05/03 00:00:00+00,1524,N 13 at Q,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,YES,2871
B8-036024,2018/04/28 00:00:00+00,515,UNKNOWN at -,NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,2872
B8-034450,2018/04/23 00:00:00+00,1723,S 40 at VAN DORN,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,2873
B8-033726,2018/04/21 00:00:00+00,1315,"S 37,EVERETT to GARFIELD",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,2874
B8-037163,2018/05/01 00:00:00+00,1240,"RANDOLPH,S 26 to S 27",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,2875
B8-037902,2018/05/03 00:00:00+00,1543,"N 45,R to VINE",INJURY,REAR END,0,1,NO,NO,NO,NO,NO,NO,NO,2876
B8-035218,2018/04/25 00:00:00+00,2130,"SALT CREEK RDWY,N 14 to N ANTELOPE VALL",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2877
B8-036032,2018/04/28 00:00:00+00,723,N 56 at VINE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2878
B8-032039,2018/04/16 00:00:00+00,1405,"CORNHUSKER,N 48 to SUPERIOR",NON-INJ,DRIVEWAY,3,0,NO,NO,NO,NO,NO,YES,NO,2879
B8-034452,2018/04/23 00:00:00+00,1734,S 27 at CAPITOL PKWY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2880
B8-033732,2018/04/21 00:00:00+00,1326,"O,25 to 26",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2881
B8-037166,2018/05/01 00:00:00+00,1252,"SUPERIOR,N 48 to PROGRESSIVE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,2882
B8-037903,2018/05/03 00:00:00+00,1550,"S 40,NEBR HWY to SWEETBRIAR",INJURY,REAR END,2,2,NO,NO,NO,NO,NO,NO,NO,2883
B8-035269,2018/04/26 00:00:00+00,9999,"S FOLSOM,TOWER to W PIONEERS",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2884
B8-035284,2018/04/26 00:00:00+00,505,"E AVON,CARLOS to SCENIC",INJURY,RAN OFF ROAD,2,1,NO,NO,NO,NO,NO,NO,NO,2885
B8-035285,2018/04/26 00:00:00+00,605,"C,S 38 to S 40",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2886
B8-035299,2018/04/26 00:00:00+00,9999,1200 BLK LIBRA at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,2887
B8-035300,2018/04/26 00:00:00+00,750,"S 48,NEBR HWY to RENTWORTH DR",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,2888
B8-035304,2018/04/26 00:00:00+00,809,S 27 at PINE LAKE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2889
B8-035312,2018/04/26 00:00:00+00,834,"VAN DORN,MANSE to S 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2890
B8-035315,2018/04/26 00:00:00+00,840,"N 27,T to VINE",INJURY H&R,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2891
B8-035322,2018/04/25 00:00:00+00,1410,ANTELOPE PARK at -,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2892
B8-035325,2018/04/25 00:00:00+00,9999,5801 N 33 at NORTH STAR,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2893
B8-035329,2018/04/26 00:00:00+00,910,"N 33,BALDWIN to HUNTINGTON",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2894
B8-035335,2018/04/26 00:00:00+00,9999,"N,S 29 to S 30",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2895
B8-035353,2018/04/26 00:00:00+00,1115,"NEBR HWY,PIONEERS to S 14",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,2896
B8-035357,2018/04/26 00:00:00+00,1132,"N 27,FAIRFIELD to KNOX",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,YES,NO,2897
B8-035364,2018/04/26 00:00:00+00,1147,"S 40,DUXHALL DR to FAULKNER DR",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2898
B8-035390,2018/04/26 00:00:00+00,1334,6516 JULIA CIR at -,NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2899
B8-035411,2018/04/26 00:00:00+00,1426,1233 LINCOLN MAL at PARKING LOT,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,YES,NO,2900
B8-035413,2018/04/26 00:00:00+00,9999,3400 S 10 at LONG JOHN SILVER,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2901
B8-035414,2018/04/26 00:00:00+00,1448,"S 70,YANKEE HILL to YANKEE WOODS DR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2902
B8-035421,2018/04/26 00:00:00+00,9999,"N 17,P to Q",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,YES,NO,2903
B8-035427,2018/04/26 00:00:00+00,1455,6900 VAN DORN at HOLMES LAKE FAMI,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,2904
B8-035431,2018/04/26 00:00:00+00,1542,"SOUTH,S 11 to S 12",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2905
B8-035432,2018/04/26 00:00:00+00,1530,FRANCIS at N COTNER,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,2906
B8-035467,2018/04/26 00:00:00+00,1657,"I 180,CORNHUSKER to R",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2907
B8-035483,2018/04/26 00:00:00+00,1725,"S 29,PINE LAKE to PORTER RIDGE",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,2908
B8-035513,2018/04/26 00:00:00+00,1901,S 27 at NEBR HWY,INJURY,RIGHT ANGLE,2,4,NO,NO,NO,NO,NO,NO,NO,2909
B8-035532,2018/04/26 00:00:00+00,1945,"S 70,MONTEREY to SUMNER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2910
B8-035552,2018/04/26 00:00:00+00,9999,5000 MIKE SCHOLL at ARNOLD ELEMEN,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2911
B8-035557,2018/04/26 00:00:00+00,2140,"S 56,A to SUMNER",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,2912
B8-035572,2018/04/26 00:00:00+00,2254,"BALLARD,N 66 to N 67",NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2913
B8-035664,2018/04/27 00:00:00+00,853,UNION at VILLAGE DR,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,2914
B8-035692,2018/04/27 00:00:00+00,1031,3700 W O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,2915
B8-035710,2018/04/27 00:00:00+00,1055,"S 21-S 22,A-WASHINGTON to ALLEY",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,2916
B8-035717,2018/04/27 00:00:00+00,1151,SUN VALLEY at W O,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2917
B8-035721,2018/04/27 00:00:00+00,1200,N 33 at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2918
B8-035761,2018/04/27 00:00:00+00,1400,"NEBR HWY,S 27 to SOUTHWOOD DR",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2919
B8-035762,2018/04/27 00:00:00+00,1412,52 at O,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,2920
B8-035778,2018/04/27 00:00:00+00,1500,S 11 at C,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2921
B8-035786,2018/04/27 00:00:00+00,1515,S 9 at PEACH,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2922
B8-035797,2018/04/27 00:00:00+00,1550,"N COTNER,AYLESWORTH to FRANCIS",NON-INJ,DRIVEWAY,3,0,NO,NO,NO,NO,NO,YES,NO,2923
B8-035798,2018/04/27 00:00:00+00,1550,"K,S ANTELOPE VALL to S 20",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,2924
B8-035801,2018/04/27 00:00:00+00,1600,N 57 at GLADSTONE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2925
B8-035810,2018/04/27 00:00:00+00,1600,S 10 at K,NON-INJ H&R,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2926
B8-035822,2018/04/27 00:00:00+00,1658,EVERGREEN at A,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2927
B8-035835,2018/04/27 00:00:00+00,9999,"N 42,HOLDREGE to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2928
B8-035836,2018/04/27 00:00:00+00,1715,"S 48,J to L",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2929
B8-035839,2018/04/27 00:00:00+00,1732,"S 84,A to JANSSEN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2930
B8-035848,2018/04/27 00:00:00+00,1725,"PINE LAKE,S 30 to S 32",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2931
B8-034454,2018/04/23 00:00:00+00,1736,EASTRIDGE at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2932
B8-033736,2018/04/21 00:00:00+00,1338,"S 13,SARATOGA to HUDSON",NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2933
B8-037218,2018/05/01 00:00:00+00,1525,N 46 at BALDWIN,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2934
B8-034460,2018/04/23 00:00:00+00,9999,"STARR,N 44 to N 45",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2935
B8-033757,2018/04/21 00:00:00+00,9999,"S 52,GLADE to NORMAL",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2936
B8-032042,2018/04/16 00:00:00+00,1420,VINE at N COTNER,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,NO,NO,2937
B8-037905,2018/05/03 00:00:00+00,1547,"HOLDREGE,N 56 to N 57",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,2938
B8-033764,2018/04/21 00:00:00+00,9999,"P,N 11 to N 12",INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,NO,NO,2939
B8-034464,2018/04/23 00:00:00+00,1745,NW 55 at W AURORA,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,2940
B8-037226,2018/05/01 00:00:00+00,1537,"YANKEE HILL,S 30 to S 33",INJURY,OTHER,2,2,NO,NO,NO,NO,NO,NO,NO,2941
B8-037909,2018/05/03 00:00:00+00,1604,N 27 at FOLKWAYS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2942
B8-036037,2018/04/28 00:00:00+00,815,"CAPITOL PKWY W,S FOLSOM to HOMESTEAD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2943
B8-037918,2018/05/03 00:00:00+00,1632,NW 4 at W DAWES,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2944
B8-037245,2018/05/01 00:00:00+00,1655,"N 14,INDIGO RD to MORTON",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2945
B8-037921,2018/05/03 00:00:00+00,1643,"S 19,G to J",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,2946
B8-036054,2018/04/28 00:00:00+00,1007,"S 27,PARK AV to STRATFORD",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,2947
B8-033772,2018/04/21 00:00:00+00,1540,S 24 at RANDOLPH BYPASS,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2948
B8-034476,2018/04/20 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2949
B8-037251,2018/05/01 00:00:00+00,1709,N 33 at MADISON,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,2950
B8-037929,2018/05/03 00:00:00+00,1655,N 20 at SUPERIOR,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2951
B8-032056,2018/04/16 00:00:00+00,1456,W 19 at W O,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,2952
B8-036074,2018/04/28 00:00:00+00,1155,HAVELOCK at CORNHUSKER,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2953
B8-033856,2018/04/21 00:00:00+00,2044,"N 66,O to Q",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2954
B8-034489,2018/04/23 00:00:00+00,1847,620 N 70 at DRIVEWAY,INJURY,,1,1,YES,NO,NO,NO,NO,YES,NO,2955
B8-037254,2018/05/01 00:00:00+00,1715,"N 48,CORNHUSKER to PROGRESSIVE",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2956
B8-037930,2018/05/03 00:00:00+00,9999,300 S 17 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,2957
B8-032077,2018/04/16 00:00:00+00,1535,"N 14,ELBA to SUPERIOR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2958
B8-036090,2018/04/28 00:00:00+00,1250,"NEBR HWY,OLD CHENEY to APPLES WAY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2959
B8-033869,2018/04/21 00:00:00+00,9999,"N 27,CORNHUSKER to KNOX",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2960
B8-034553,2018/04/23 00:00:00+00,2145,"N 10,O to P",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2961
B8-037257,2018/05/01 00:00:00+00,1720,"W O,W 22 to HOMESTEAD",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2962
B8-037933,2018/05/03 00:00:00+00,1706,"R,N 56 to ORCUTT E",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2963
B8-032087,2018/04/16 00:00:00+00,1620,"N 70,ORCHARD to Y",INJURY,SIDE SWIPE,2,1,NO,NO,NO,NO,NO,YES,NO,2964
B8-036092,2018/04/28 00:00:00+00,1300,"S 70,L to S WEDGEWOOD",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2965
B8-033890,2018/04/21 00:00:00+00,2228,"SHIRL DR,SHIRL CT to S 75",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2966
B8-034559,2018/04/23 00:00:00+00,2157,"SUPERIOR,N 24 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2967
B8-037273,2018/05/01 00:00:00+00,1744,"S 27,ROYAL to WOODSDALE",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2968
B8-037936,2018/05/03 00:00:00+00,1705,"S 14,NEBR HWY to PIONEERS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2969
B8-032091,2018/04/16 00:00:00+00,1630,"S 56,COOPER to PRESCOTT",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,2970
B8-036114,2018/04/27 00:00:00+00,9999,7400 JACOBS CREE at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2971
B8-033903,2018/04/21 00:00:00+00,2248,"NEBR HWY,PIONEERS to S 14",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2972
B8-034621,2018/04/24 00:00:00+00,728,"W CORNHUSKER,N 1 to NW 4",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2973
B8-037283,2018/05/01 00:00:00+00,1800,"WILDBRIAR,DOVE to S 32",INJURY,HEAD ON,2,2,NO,NO,NO,NO,NO,YES,NO,2974
B8-037286,2018/05/01 00:00:00+00,1834,"S BRANDT,NEWTON to SOUTH",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2975
B8-037302,2018/05/01 00:00:00+00,1915,N 20 at JUDSON,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,2976
B8-037355,2018/05/01 00:00:00+00,2230,"N 26,T to U",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2977
B8-037395,2018/05/02 00:00:00+00,9999,"W CORNHUSKER,NW 9 to W DAWES",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,2978
B8-037421,2018/05/02 00:00:00+00,749,"W A,S CODDINGTON to SW 22",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2979
B8-037422,2018/05/02 00:00:00+00,748,"RENTWORTH DR,S 48 to S 49",INJURY,OTHER,2,1,NO,NO,NO,NO,NO,NO,NO,2980
B8-037423,2018/05/02 00:00:00+00,745,"O,56 to COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2981
B8-037450,2018/05/02 00:00:00+00,941,"S 48,COOPER to PRESCOTT",NON-INJ,PARKED,4,0,NO,NO,NO,NO,NO,YES,NO,2982
B8-037496,2018/05/02 00:00:00+00,9999,"KEARNEY,N 64 to N 65",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,2983
B8-037511,2018/05/02 00:00:00+00,1300,S 27 at OLD CHENEY,INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,2984
B8-037515,2018/05/02 00:00:00+00,1310,"S 70,OLD POST to SOUTH",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,2985
B8-037518,2018/05/02 00:00:00+00,1307,"NEBR HWY,S 27 to PIONEERS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2986
B8-037525,2018/05/02 00:00:00+00,1330,"OLD CHENEY,S 25 to S 27",INJURY,,2,1,NO,NO,NO,NO,NO,NO,NO,2987
B8-037543,2018/05/02 00:00:00+00,1455,N 35 at BALDWIN,NON-INJ H&R,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,2988
B8-037551,2018/05/02 00:00:00+00,1517,"N 70,HUNTINGTON to WALKER",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,2989
B8-037555,2018/05/02 00:00:00+00,1521,"S 70,PIONEER WOODS DR to PIONEERS",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2990
B8-037573,2018/04/30 00:00:00+00,1600,"N 14,ELBA to SUPERIOR",NON-INJ,REAR END,2,0,NO,NO,YES,NO,NO,NO,NO,2991
B8-037582,2018/05/02 00:00:00+00,1634,3939 A ST at KWIK SHOP,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,2992
B8-037619,2018/05/02 00:00:00+00,1750,S 14 at K,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,2993
B8-037621,2018/05/02 00:00:00+00,1800,"I 80,N 27 to CITY LIMITS EAST",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,2994
B8-037641,2018/05/02 00:00:00+00,1844,6211 S 53 at KENSINGTON PARK,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,2995
B8-037649,2018/05/02 00:00:00+00,1910,N ANTELOPE VALL at N 17,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,2996
B8-037737,2018/05/03 00:00:00+00,9999,"FOLSOM CONNECTOR,FOLSOM BYPASS to W VAN DORN",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,2997
B8-037750,2018/05/03 00:00:00+00,600,"N 44,CORNHUSKER to EDISON",INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,2998
B8-037756,2018/05/03 00:00:00+00,645,"A,S 13 to S 14",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,2999
B8-037762,2018/05/03 00:00:00+00,742,SW 8 at W A,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,3000
B8-037763,2018/05/03 00:00:00+00,745,RENTWORTH DR at BRIARPARK,NON-INJ,RIGHT ANGLE,1,0,NO,YES,NO,NO,NO,NO,NO,3001
B8-037765,2018/05/03 00:00:00+00,753,"S 84,KATHY to MANDARIN",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,3002
B8-037791,2018/05/03 00:00:00+00,921,"OLD CHENEY,S 56 to S 58",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,3003
B8-037797,2018/05/03 00:00:00+00,954,S 16 at L,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,3004
B8-037824,2018/05/03 00:00:00+00,1134,S 14 at K,NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,3005
B8-037854,2018/05/03 00:00:00+00,1310,"CORNHUSKER,N 20 to N 23",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,3006
B8-037871,2018/05/03 00:00:00+00,1401,S 16 at G,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,3007
B8-037880,2018/05/03 00:00:00+00,1430,"S 9,N to O",INJURY,,2,1,NO,NO,NO,NO,NO,YES,NO,3008
B8-037884,2018/05/03 00:00:00+00,1500,"ADAMS,DOROTHY to N 75",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,3009
B8-037890,2018/05/03 00:00:00+00,1510,"O,84 to RUSSWOOD PKWY",NON-INJ H&R,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,3010
B8-032095,2018/04/16 00:00:00+00,1635,"VINE,EASTBOROUGH to N 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,3011
B8-037948,2018/05/03 00:00:00+00,1738,"S 56,ROOSE to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,3012
B8-034623,2018/04/24 00:00:00+00,740,"N 84,BLUE SKY to COLLEGE PARK RD",NON-INJ,,3,0,NO,NO,NO,NO,NO,YES,NO,3013
B8-032099,2018/04/16 00:00:00+00,1630,"VINE,N 70 to NORTHBOROUGH",INJURY H&R,REAR END,3,1,NO,NO,NO,NO,NO,YES,NO,3014
B8-037989,2018/05/03 00:00:00+00,1950,N 25 & N 24 at DUDLEY& HOLDREGE,NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,3015
B8-038021,2018/05/03 00:00:00+00,2135,"O,27 to 28",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,3016
B8-038074,2018/05/04 00:00:00+00,115,"BROWER,NEBR HWY to WORTHINGTON",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,3017
B8-038076,2018/05/04 00:00:00+00,9999,"N 33,SALT CREEK CR to FOLKWAYS",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,3018
B8-038095,2018/05/04 00:00:00+00,246,"R,N 36 to N 35",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,3019
B8-038121,2018/05/04 00:00:00+00,726,"PRINCESS MARGARE,OLD CHENEY to DUXHALL DR",INJURY,RIGHT ANGLE,1,1,NO,YES,NO,NO,NO,YES,NO,3020
B8-038126,2018/05/04 00:00:00+00,800,"OLD CHENEY,S 52 to S 56",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,3021
B8-038135,2018/05/04 00:00:00+00,300,"S 32,F to RANDOLPH",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,3022
B8-038137,2018/05/04 00:00:00+00,830,"O,38 to 40",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,3023
B8-038139,2018/05/04 00:00:00+00,757,S 14 at OLD CHENEY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,3024
B8-038143,2018/05/04 00:00:00+00,9999,"PAWNEE,S 33 to S 35",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,3025
B8-038153,2018/05/04 00:00:00+00,924,"O,38 to 40",INJURY,REAR END,5,3,NO,NO,NO,NO,NO,YES,NO,3026
B8-038167,2018/05/04 00:00:00+00,922,"O,38 to 40",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,YES,NO,3027
B8-038168,2018/05/04 00:00:00+00,955,"S 48,NEWTON to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,3028
B8-038192,2018/05/04 00:00:00+00,1105,"NORMAL,S 70 to VAN DORN",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,3029
